episode,runtime,enddistance,score
1,1.680000000000001,10.408017701688289,-35.85159694258262
2,1.680000000000001,10.40680758095728,-35.83794979245519
3,1.680000000000001,10.222509048517118,-35.68157523928414
4,1.680000000000001,10.616497155341001,-37.10267244028886
5,1.620000000000001,10.392878475616545,-33.02693974504144
6,1.5000000000000009,10.528940248348876,-32.96679600829277
7,1.5000000000000009,10.472293683690964,-33.13577685953199
8,1.5000000000000009,10.108905649706294,-31.626487084682452
9,1.4400000000000008,10.187300032550182,-32.000540561359294
10,1.5000000000000009,10.5785449848337,-35.14325925707048
11,1.680000000000001,10.730671830965637,-38.17898860091118
12,1.5000000000000009,10.89050012575563,-33.93488515766167
13,1.4400000000000008,10.545002241072824,-32.612494967172424
14,1.4400000000000008,10.466651121517652,-33.02942078924667
15,1.5000000000000009,10.726722397348624,-33.98191096926704
16,1.5000000000000009,10.38084952456572,-30.292173631578578
17,1.680000000000001,10.025681932636605,-34.01613253480823
18,1.680000000000001,10.606955409598031,-34.20757032516927
19,1.680000000000001,10.547352447013754,-34.17620060400273
20,1.680000000000001,10.6088187905005,-34.0930900349932
21,1.680000000000001,10.170872866808583,-35.054228903003995
22,1.680000000000001,10.717108550690403,-37.60228345101211
23,1.620000000000001,10.010375608804463,-34.55100803848511
24,1.740000000000001,10.847856954587417,-32.313822058150464
25,1.8000000000000012,10.764226094685663,-24.34117071165877
26,1.740000000000001,10.138196610931786,-21.742490204526295
27,1.8000000000000012,10.364597423505755,-21.854183830592408
28,1.8000000000000012,10.614452437451034,-23.54198824635573
29,1.740000000000001,10.163890936324227,-21.859606007074664
30,1.8000000000000012,10.683661590025906,-21.125936933068857
31,1.740000000000001,10.022817886413874,-19.708654276198054
32,1.8000000000000012,10.718178546594945,-21.925094990534713
33,1.8000000000000012,10.769886482386344,-25.061536261467857
34,1.8000000000000012,10.771707867493031,-28.51389072539184
35,1.740000000000001,10.154007438275002,-30.54325204821321
36,1.620000000000001,10.750202262618444,-36.947564705971494
37,1.620000000000001,10.720008511396347,-36.95568336536422
38,1.5000000000000009,10.610936008935658,-35.12556684601411
39,1.5000000000000009,10.12606048249593,-35.561776780531474
40,1.560000000000001,10.395343751368337,-37.53109324963843
41,1.560000000000001,10.396700711383007,-37.534472358521846
42,1.560000000000001,10.396892794692807,-37.53708080810059
43,1.560000000000001,10.39195105553805,-37.526584044357264
44,1.560000000000001,10.390136776815725,-37.52507072181986
45,1.560000000000001,10.391646135170522,-37.52376147429071
46,1.560000000000001,10.400143547788991,-37.54112233013149
47,1.560000000000001,10.394809831910294,-37.52907186330511
