time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.111171248075036e-06,3.5112625018138713e-07,10.005084460361667,0.0002974967974607168,0.0007367883448941015,0.0,-8.658700766643897e-05,3.0084657977360136e-05,0.16947126285507366,0.013382825640409355,0.029558614949899246,0.0,457.54826034013996,459.894998338589,457.57043019004476,458.6343225234206
0.12000000000000001,-2.870886500562166e-05,1.1475280169453903e-05,10.018620195031039,0.0010035091847724331,0.0025181319955471793,0.0,-0.0010178520426592807,0.0004192657546459648,0.2816978842800501,0.008321537925146762,0.0299486400437538,0.0,439.70511390031635,439.73770169231796,442.09574707413435,441.6784747858045
0.18,-0.0001588929678131387,6.340484432040155e-05,10.042008552238118,0.0017603851749221633,0.004550912039925414,0.0,-0.0035508519799113854,0.0013878822630827936,0.4978435561824524,0.02005361132957236,0.04076526637452638,0.0,472.59025798909687,473.42350470885475,471.3998272299765,472.30526604330754
0.23999999999999996,-0.0004815014471918673,0.00019031999289400976,10.076058215252642,0.00326012060644576,0.007258745217461282,0.0,-0.007481531045951546,0.0029897943464254513,0.6370755295346521,0.033395129996437053,0.05267640547400698,0.0,450.10196276559077,451.06588400763525,447.79028584850886,448.874206578577
0.3,-0.0010991337692622771,0.00044809690476439084,10.118148128185608,0.005488125856873971,0.010168054828259443,0.0,-0.013429914605523348,0.005828259098905324,0.7658400199291775,0.043720018143971855,0.038422809638751436,0.0,446.8119383533217,445.6499593358,446.10890034558383,446.95168550387825
0.36000000000000004,-0.002113737360729722,0.0009156054812182754,10.166147229864817,0.008214484772591568,0.012479633510737997,0.0,-0.020614336106301614,0.010015518808773423,0.834078125720201,0.04867247939148961,0.038732463519643566,0.0,427.54957514769876,427.5767444400142,426.8949300961687,427.31854580641476
0.4200000000000001,-0.0036318544599738133,0.0017071523665169509,10.220303633016343,0.010740475353129497,0.014981844055661497,0.0,-0.03024818351351915,0.016666610777845366,0.9710222571225943,0.023806254246923158,0.04706541068933461,0.0,448.79900530979967,449.4756561213957,450.31241948051843,448.29756419962166
0.48000000000000015,-0.0057579845445066636,0.0029278023895673616,10.280957305788585,0.012160622167359136,0.018103195505916325,0.0,-0.04091753228067319,0.02416187064990989,1.0506900408944557,0.02339344541394889,0.06044228664119259,0.0,431.0116650323677,432.14239711092466,431.2583642229985,431.22357874229516
0.5400000000000001,-0.008663838699267908,0.004675564568176369,10.350345035339057,0.013385294157329142,0.021330198245085974,0.0,-0.05635275256572375,0.03425076424046995,1.2620145700712546,0.013657311786540944,0.03513431691933022,0.0,472.51048762142295,470.5572658638371,472.98897080000967,472.23860141234076
0.6000000000000002,-0.012529168846411714,0.007031850473409916,10.430624537073822,0.014600758186251284,0.024359479777434245,0.0,-0.07278110869664994,0.04440387385740194,1.4137844808615523,0.030962176655888157,0.07066656949746541,0.0,453.4326308721236,456.27927356285954,453.8205898009971,455.2073091676753
0.6600000000000003,-0.01739131846946732,0.009990409713019538,10.517485573894852,0.016508935876228925,0.028353297831559487,0.0,-0.0896903612493316,0.054396357129486754,1.481483696051678,0.0334333248852831,0.05674800614442141,0.0,428.49026082043514,427.30892766322347,429.25758971403417,429.46762526203827
0.7200000000000003,-0.023326545921557813,0.013577075716924288,10.607815439540765,0.018967172612883054,0.0315326345890945,0.0,-0.10846065419244089,0.06537129567069241,1.5294344884579574,0.052887767096519114,0.04415181149217734,0.0,422.5145960856437,421.4292939350854,421.98715633475564,423.6639663415477
0.7800000000000004,-0.030580326119508942,0.017954146899779835,10.70518005418063,0.022167425406009578,0.034765404870111816,0.0,-0.13366716275801682,0.0808913580967353,1.7157710534136705,0.054221934583249726,0.06842073063100573,0.0,464.798916021965,466.69852997095444,466.0421879542655,466.1481751122336
0.8400000000000004,-0.03935072963880714,0.023288009125072503,10.811527784673785,0.026063135239099644,0.039846660144092994,0.0,-0.1591632752821536,0.0972770083079226,1.8289492909153346,0.0805548570107963,0.10565342293688304,0.0,442.9310699980411,445.987731569369,442.768732774147,444.93265640381225
0.9000000000000005,-0.049945791616961076,0.029810698221227797,10.929058870077974,0.030667256105448182,0.046128912119039356,0.0,-0.19478043704158315,0.120727149921541,2.0882618603286205,0.06773083451840123,0.10273647136879183,0.0,488.27039560588327,488.0612395108652,488.84224074205576,487.8898127474486
0.9600000000000005,-0.062481630241162905,0.037617851732388775,11.054628077839858,0.03482949303179428,0.05206807597259022,0.0,-0.22361767681425082,0.13987387421667205,2.0973188948380277,0.07246197375419863,0.09017746834390554,0.0,412.7305624985299,411.62988274133556,411.23086612286403,411.6537876761631
1.0200000000000005,-0.0770118992629425,0.04675622072388725,11.183740505180644,0.03909479540749494,0.05757305158420678,0.0,-0.2612786227133182,0.16517444796110242,2.206170559311783,0.06819067854232617,0.09471971447410236,0.0,443.86632950868386,444.2460032716947,445.03985474580236,444.69399479782055
1.0800000000000005,-0.09395571144806585,0.05752603150906506,11.320009259468518,0.04328448008292973,0.06338659640494182,0.0,-0.30411294451832077,0.19424729511067707,2.335800804347821,0.07291520278277785,0.10091480760707598,0.0,451.42129605795867,451.9287425691809,451.1236602145302,451.50859671435865
1.1400000000000006,-0.11356550763336817,0.07010957578361479,11.463554602224958,0.04773374631322458,0.06989928300116688,0.0,-0.35018920325154324,0.2256492001605784,2.4487322090631634,0.07652306739493349,0.1205730002439554,0.0,446.7523004009824,448.36232425293457,446.2893070101684,446.587941501297
