episode,runtime,enddistance,score
1,4.319999999999996,10.502800247456497,15.179912853788268
2,3.840000000000003,10.228259550674053,2.121445173457258
3,4.259999999999997,10.216795779467901,13.5269277332788
4,2.2200000000000015,10.78150982314344,-11.37639689142263
5,1.5000000000000009,10.797091882084516,-36.23166756005462
6,1.5000000000000009,10.79807968778581,-36.23400710861667
7,1.5000000000000009,10.794256134181357,-36.2246664179457
8,1.5000000000000009,10.796258738873851,-36.224534936420284
9,1.5000000000000009,10.795656960636407,-36.2279212963233
10,1.5000000000000009,10.798286483023617,-36.23434081772708
11,1.5000000000000009,10.794932844409617,-36.22495354900003
12,1.5000000000000009,10.79641247993739,-36.225899145336776
13,1.5000000000000009,10.796601619456435,-36.22761040769004
14,1.5000000000000009,10.79487744586904,-36.22160081072832
15,1.5000000000000009,10.791735497187872,-36.21391457273969
16,1.5000000000000009,10.798307681547087,-36.23199254173491
17,1.5000000000000009,10.793062392980938,-36.221671042940905
18,1.5000000000000009,10.793909324113386,-36.21954703924803
19,1.5000000000000009,10.79626733699092,-36.22669310455027
20,1.5000000000000009,10.799383226448978,-36.23769293898926
21,1.5000000000000009,10.794567905854434,-36.21998841148887
22,1.5000000000000009,10.799524596302833,-36.23535600633504
23,1.5000000000000009,10.795060584586171,-36.22616318850122
24,1.5000000000000009,10.798864049101956,-36.238943701259394
25,1.5000000000000009,10.796451470777624,-36.22743598228422
26,1.5000000000000009,10.797842942857136,-36.234928942683425
27,1.5000000000000009,10.795625836897816,-36.22588139769253
28,1.5000000000000009,10.795330739729355,-36.22488857804211
29,1.5000000000000009,10.794535934794357,-36.226398047191445
30,1.5000000000000009,10.797117020707294,-36.231942322790985
31,1.5000000000000009,10.794212735976908,-36.222669105196026
32,1.5000000000000009,10.79843056089918,-36.232470443929145
33,1.5000000000000009,10.791941917136045,-36.21202587966609
34,1.620000000000001,10.26569346527373,-30.585287318589952
35,2.760000000000002,10.220635144363758,-0.3277625080214057
36,3.900000000000003,10.008623947324375,-1.2530026658507012
37,4.859999999999984,10.086566369209068,10.895537029653786
38,5.0399999999999805,6.519293544532123,62.964687478689406
39,4.859999999999984,10.092996652582043,15.244841269233742
40,1.5000000000000009,10.779434664508397,-36.14255073521999
41,1.5000000000000009,10.795080145638037,-36.22449843686368
